ATM ID,State_Name,ATM_City,Terminal_Location,date,No of Withdrawals,Total Amount Dispensed
ATM1000,Telangana,Hyderabad,Railway Station,2026-04-16,93,262179
ATM1000,Telangana,Hyderabad,Railway Station,2026-04-17,102,256667
ATM1000,Telangana,Hyderabad,Railway Station,2026-04-18,189,348408
ATM1000,Telangana,Hyderabad,Railway Station,2026-04-19,136,346007
ATM1000,Telangana,Hyderabad,Railway Station,2026-04-20,122,235648
ATM1000,Telangana,Hyderabad,Railway Station,2026-04-21,159,257135
ATM1000,Telangana,Hyderabad,Railway Station,2026-04-22,125,310625
ATM1000,Telangana,Hyderabad,Railway Station,2026-04-23,101,258216
ATM1000,Telangana,Hyderabad,Railway Station,2026-04-24,91,242269
ATM1000,Telangana,Hyderabad,Railway Station,2026-04-25,198,343491
ATM1000,Telangana,Hyderabad,Railway Station,2026-04-26,123,326230
ATM1000,Telangana,Hyderabad,Railway Station,2026-04-27,144,287868
ATM1000,Telangana,Hyderabad,Railway Station,2026-04-28,94,258724
ATM1000,Telangana,Hyderabad,Railway Station,2026-04-29,117,274229
ATM1000,Telangana,Hyderabad,Railway Station,2026-04-30,91,271946
ATM1000,Telangana,Hyderabad,Railway Station,2026-05-01,135,252347
ATM1000,Telangana,Hyderabad,Railway Station,2026-05-02,137,345650
ATM1000,Telangana,Hyderabad,Railway Station,2026-05-03,204,334817
ATM1000,Telangana,Hyderabad,Railway Station,2026-05-04,152,247050
ATM1000,Telangana,Hyderabad,Railway Station,2026-05-05,93,262567
ATM1000,Telangana,Hyderabad,Railway Station,2026-05-06,109,262590
ATM1000,Telangana,Hyderabad,Railway Station,2026-05-07,121,250718
ATM1000,Telangana,Hyderabad,Railway Station,2026-05-08,163,248422
ATM1000,Telangana,Hyderabad,Railway Station,2026-05-09,224,338367
ATM1000,Telangana,Hyderabad,Railway Station,2026-05-10,135,350637
ATM1000,Telangana,Hyderabad,Railway Station,2026-05-11,108,254700
ATM1000,Telangana,Hyderabad,Railway Station,2026-05-12,87,255972
ATM1000,Telangana,Hyderabad,Railway Station,2026-05-13,134,270231
ATM1000,Telangana,Hyderabad,Railway Station,2026-05-14,112,264819
ATM1000,Telangana,Hyderabad,Railway Station,2026-05-15,150,266153
ATM1000,Telangana,Hyderabad,Railway Station,2026-05-16,154,343028
ATM1000,Telangana,Hyderabad,Railway Station,2026-05-17,160,327611
ATM1000,Telangana,Hyderabad,Railway Station,2026-05-18,156,255019
ATM1000,Telangana,Hyderabad,Railway Station,2026-05-19,101,290445
ATM1000,Telangana,Hyderabad,Railway Station,2026-05-20,142,283713
ATM1000,Telangana,Hyderabad,Railway Station,2026-05-21,96,254387
ATM1000,Telangana,Hyderabad,Railway Station,2026-05-22,103,259584
ATM1000,Telangana,Hyderabad,Railway Station,2026-05-23,220,331465
ATM1000,Telangana,Hyderabad,Railway Station,2026-05-24,140,347953
ATM1000,Telangana,Hyderabad,Railway Station,2026-05-25,175,264604
ATM1001,Kerala,Trivandrum,Railway Station,2026-04-16,46,120915
ATM1001,Kerala,Trivandrum,Railway Station,2026-04-17,51,141029
ATM1001,Kerala,Trivandrum,Railway Station,2026-04-18,79,153586
ATM1001,Kerala,Trivandrum,Railway Station,2026-04-19,47,136967
ATM1001,Kerala,Trivandrum,Railway Station,2026-04-20,57,107943
ATM1001,Kerala,Trivandrum,Railway Station,2026-04-21,49,130033
ATM1001,Kerala,Trivandrum,Railway Station,2026-04-22,70,110968
ATM1001,Kerala,Trivandrum,Railway Station,2026-04-23,67,105471
ATM1001,Kerala,Trivandrum,Railway Station,2026-04-24,48,123333
ATM1001,Kerala,Trivandrum,Railway Station,2026-04-25,55,129150
ATM1001,Kerala,Trivandrum,Railway Station,2026-04-26,92,151155
ATM1001,Kerala,Trivandrum,Railway Station,2026-04-27,61,108524
ATM1001,Kerala,Trivandrum,Railway Station,2026-04-28,34,98488
ATM1001,Kerala,Trivandrum,Railway Station,2026-04-29,59,116273
ATM1001,Kerala,Trivandrum,Railway Station,2026-04-30,54,125626
ATM1001,Kerala,Trivandrum,Railway Station,2026-05-01,62,109120
